"","X","baker","age","sex","occupation","hometown","season","name_or_nickname","firstname","result","hometown_uk","coords.lon","coords.lat","lon","lat"
"21", 21,"Ryan Chong",38,"M","Photographer","Bristol", 3,"Ryan Chong","Ryan",NA,"Bristol, UK",-2.5879100,51.4545130,-2.5879100,51.45451
"22", 22,"Sarah-Jane Willis",28,"F","Vicar's wife","Bewbush, West Sussex", 3,"Sarah-Jane Willis","Sarah-Jane",NA,"Bewbush, West Sussex, UK",-0.2238525,51.1032170,-0.2238525,51.10322
"23", 23,"Stuart Marston-Smith",26,"M","PE teacher","Lichfield, Staffordshire", 3,"Stuart Marston-Smith","Stuart",NA,"Lichfield, Staffordshire, UK",-1.8316720,52.6816020,-1.8316720,52.68160
"24", 24,"Victoria Chester",50,"F","CEO of the charity Plantlife","Somerset", 3,"Victoria Chester","Victoria",NA,"Somerset, UK",-2.9262307,51.1050970,-2.9262307,51.10510
"25", 25,"Ali Imdad",25,"M","Charity worker","Saltley, Birmingham", 4,"Ali Imdad","Ali",NA,"Saltley, Birmingham, UK",-1.8530914,52.4933803,-1.8530914,52.49338
"26", 26,"Beca Lyne-Pirkis",31,"F","Military Wives' Choir Singer","Aldershot, Hampshire", 4,"Beca Lyne-Pirkis","Beca",NA,"Aldershot, Hampshire, UK",-0.7557509,51.2483660,-0.7557509,51.24837
"27", 27,"Christine Wallace",66,"F","Director of an engraving company","Didcot, Oxfordshire", 4,"Christine Wallace","Christine",NA,"Didcot, Oxfordshire, UK",-1.2448400,51.6080440,-1.2448400,51.60804
"28", 28,"Deborah Manger",51,"F","Dentist","Peterborough", 4,"Deborah Manger","Deborah",NA,"Peterborough, UK",-0.2407997,52.5703169,-0.2407997,52.57032
"29", 29,"Frances Quinn",31,"F","Children's Clothes Designer","Market Harborough, Leicestershire", 4,"Frances Quinn","Frances","WINNER","Market Harborough, Leicestershire, UK",-0.9215170,52.4757690,-0.9215170,52.47577
"30", 30,"Glenn Cosby",37,"M","English Teacher","Teignmouth, Devon", 4,"Glenn Cosby","Glenn",NA,"Teignmouth, Devon, UK",-3.4966880,50.5470330,-3.4966880,50.54703
"31", 31,"Howard Middleton",51,"M","Council Worker","Sheffield", 4,"Howard Middleton","Howard",NA,"Sheffield, UK",-1.4700850,53.3811290,-1.4700850,53.38113
"32", 32,"Kimberley Wilson",30,"F","Psychologist","London", 4,"Kimberley Wilson","Kimberley",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"33", 33,"Lucy Bellamy",38,"F","Horticulturist","Grimsby, Lincolnshire", 4,"Lucy Bellamy","Lucy",NA,"Grimsby, Lincolnshire, UK",-0.0807840,53.5674710,-0.0807840,53.56747
"34", 34,"Mark Onley",37,"M","Carpenter and Kitchen Fitter","Milton Keynes", 4,"Mark Onley","Mark",NA,"Milton Keynes, UK",-0.7594171,52.0406224,-0.7594171,52.04062
"35", 35,"Robert Smart",54,"M","Space Satellite Designer","Melbourn, Cambridgeshire", 4,"Robert Smart","Robert",NA,"Melbourn, Cambridgeshire, UK", 0.0160090,52.0838690, 0.0160090,52.08387
"36", 36,"Ruby Tandoh",20,"F","History of Art and Philosophy Student","Southend, Essex", 4,"Ruby Tandoh","Ruby",NA,"Southend, Essex, UK", 0.7077123,51.5459269, 0.7077123,51.54593
"37", 37,"Toby Waterworth",30,"M","Web Programmer","Reading, Berkshire", 4,"Toby Waterworth","Toby",NA,"Reading, Berkshire, UK",-0.9787475,51.4551201,-0.9787475,51.45512
"38", 38,"Chetna Makan",35,"F","Fashion Designer","Broadstairs, Kent", 5,"Chetna Makan","Chetna",NA,"Broadstairs, Kent, UK", 1.4320380,51.3601630, 1.4320380,51.36016
"39", 39,"Claire Goodwin",31,"F","Speech Therapist","Ashton upon Mersey, Trafford", 5,"Claire Goodwin","Claire",NA,"Ashton upon Mersey, Trafford, UK",-2.3429622,53.4294536,-2.3429622,53.42945
"40", 40,"Diana Beard",69,"F","Women's Institute (WI) Judge","Alkington, Shropshire", 5,"Diana Beard","Diana",NA,"Alkington, Shropshire, UK",-2.7003890,52.9491299,-2.7003890,52.94913
"41", 41,"Enwezor Nzegwu",39,"M","Business Consultant","Portsmouth, Hampshire", 5,"Enwezor Nzegwu","Enwezor",NA,"Portsmouth, Hampshire, UK",-1.0879769,50.8197675,-1.0879769,50.81977
"42", 42,"Iain Watters",31,"M","Construction Engineer","London/Belfast", 5,"Iain Watters","Iain",NA,"London/Belfast, UK",-5.9086368,54.5903923,-5.9086368,54.59039
"43", 43,"Jordan Cox",32,"M","IT Manager","Sneinton, Nottingham", 5,"Jordan Cox","Jordan",NA,"Sneinton, Nottingham, UK",-1.1258177,52.9505859,-1.1258177,52.95059
"44", 44,"Kate Henry",41,"F","Furniture Restorer","Brighton, East Sussex", 5,"Kate Henry","Kate",NA,"Brighton, East Sussex, UK",-0.1362672,50.8229402,-0.1362672,50.82294
"45", 45,"Luis Troyano",42,"M","Graphic Designer","Poynton, Cheshire", 5,"Luis Troyano","Luis",NA,"Poynton, Cheshire, UK",-2.1215720,53.3486540,-2.1215720,53.34865
"46", 46,"Martha Collison",17,"F","Student","Ascot, Berkshire", 5,"Martha Collison","Martha",NA,"Ascot, Berkshire, UK",-0.6755624,51.4062365,-0.6755624,51.40624
"47", 47,"Nancy Birtwhistle",60,"F","Retired Practice Manager","Barton-upon-Humber, Lincolnshire", 5,"Nancy Birtwhistle","Nancy","WINNER","Barton-upon-Humber, Lincolnshire, UK",-0.4433680,53.6866750,-0.4433680,53.68668
"48", 48,"Norman Calder",66,"F","Retired Naval Officer","Portknockie, Moray", 5,"Norman Calder","Norman",NA,"Portknockie, Moray, UK",-2.8593110,57.7030320,-2.8593110,57.70303
"49", 49,"Richard Burr",38,"M","Builder","Mill Hill, London", 5,"Richard Burr","Richard",NA,"Mill Hill, London, UK",-0.2463566,51.6133816,-0.2463566,51.61338
"50", 50,"Alvin Magallanes",37,"M","Nurse","Bracknell, Berkshire", 6,"Alvin Magallanes","Alvin",NA,"Bracknell, Berkshire, UK",-0.7525170,51.4141982,-0.7525170,51.41420
"51", 51,"Dorret Conway",53,"F","Accountant","Penwortham, Lancashire", 6,"Dorret Conway","Dorret",NA,"Penwortham, Lancashire, UK",-2.7355870,53.7500720,-2.7355870,53.75007
"52", 52,"Flora Shedden",19,"F","Art gallery assistant","Dunkeld, Perth and Kinross", 6,"Flora Shedden","Flora",NA,"Dunkeld, Perth and Kinross, UK",-3.5862204,56.5676532,-3.5862204,56.56765
"53", 53,"Ian Cumming",41,"M","Travel photographer","Great Wilbraham, Cambridgeshire", 6,"Ian Cumming","Ian",NA,"Great Wilbraham, Cambridgeshire, UK", 0.2647319,52.1920718, 0.2647319,52.19207
"54", 54,"Marie Campbell",66,"F","Retired","Auchterarder, Perthshire", 6,"Marie Campbell","Marie",NA,"Auchterarder, Perthshire, UK",-3.7000410,56.3006210,-3.7000410,56.30062
"55", 55,"Mat Riley",37,"M","Fire fighter","London", 6,"Mat Riley","Mat",NA,"London, UK",-0.1275862,51.5072178,-0.1275862,51.50722
"56", 56,"Nadiya Hussain",30,"F","Full-time mother","Leeds", 6,"Nadiya Hussain","Nadiya","WINNER","Leeds, UK",-1.5490774,53.8007554,-1.5490774,53.80076
"57", 57,"Paul Jagger",49,"M","Prison governor","Swansea, Wales", 6,"Paul Jagger","Paul",NA,"Swansea, Wales, UK",-3.9436460,51.6214400,-3.9436460,51.62144
"58", 58,"Sandy Docherty",49,"F","Child welfare officer","Yeadon, West Yorkshire", 6,"Sandy Docherty","Sandy",NA,"Yeadon, West Yorkshire, UK",-1.6842030,53.8651530,-1.6842030,53.86515
"59", 59,"Stu Henshall",35,"M","Professional musician","Guildford, Surrey", 6,"Stu Henshall","Stu",NA,"Guildford, Surrey, UK",-0.5704090,51.2362200,-0.5704090,51.23622
"60", 60,"Tamal Ray",29,"M","Trainee anaesthetist","Manchester", 6,"Tamal Ray","Tamal",NA,"Manchester, UK",-2.2426305,53.4807593,-2.2426305,53.48076
